Order;Policy Short;Policy Component ;Policy Area;Ability to track and trace consignments, score (1=low to 5=high);Competence and quality of logistics services, score (1=low to 5=high);Ease of arranging competitively priced international shipments, score (1=low to 5=high);Efficiency of the clearance process, score (1=low to 5=high);Frequency with which shipments reach consignee within scheduled or expected time, score (1=low to 5=high);Quality of trade- and transport-related infrastructure, score (1=low to 5=high);High-Income Economies;Upper-Middle-Income Economies;Lower-Middle Income Economies;Low-Income Economies;EAST ASIA AND PACIFIC;EUROPE AND CENTRAL ASIA;LATIN AMERICA AND THE CARIBBEAN;MIDDLE EAST AND NORTH AFRICA;NORTH AMERICA;SOUTH ASIA;SUB-SAHARAN AFRICA;Cereals (excluding beer);Dairy products;Fruit and Vegetables (including bananas);Meat;Oilseeds and Pulses (including nuts);Roots and Tubers;Farm;Food Services;Harvest;Households;Post-harvest;Processing;Retail;Storage;Trader;Transport;Whole supply chain;Wholesale;Benefits;Risks;Author;Source
11;;Create incentives to upgrade transport fleet;Regulation of transport and logistics service, Quality, reliability of logistics services, Business practices ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;World Bank;https://www.un.org/ohrlls/sites/www.un.org.ohrlls/files/lldcs_publications/tradetransport_facilitation_assessment_practical_toolkit.pdf
12;;Allow increase scale of logistics service providers (Mergers & Acquisitions);Regulation of transport and logistics service, Quality, reliability of logistics services, Business practices ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;World Bank;https://www.un.org/ohrlls/sites/www.un.org.ohrlls/files/lldcs_publications/tradetransport_facilitation_assessment_practical_toolkit.pdf
13;;Encourage integration of logistics services for trade and distribution;Regulation of transport and logistics service, Quality, reliability of logistics services, Business practices ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;World Bank;https://www.un.org/ohrlls/sites/www.un.org.ohrlls/files/lldcs_publications/tradetransport_facilitation_assessment_practical_toolkit.pdf
14;;Allow introduction of new technologies for tracking and security;Regulation of transport and logistics service, Quality, reliability of logistics services, Business practices ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;World Bank;https://www.un.org/ohrlls/sites/www.un.org.ohrlls/files/lldcs_publications/tradetransport_facilitation_assessment_practical_toolkit.pdf
15;;Introduce modern supply chain management techniques;Regulation of transport and logistics service, Quality, reliability of logistics services, Business practices ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;World Bank;https://www.un.org/ohrlls/sites/www.un.org.ohrlls/files/lldcs_publications/tradetransport_facilitation_assessment_practical_toolkit.pdf
16;;Support for a national logistics council and other mechanisms for selfregulation;Regulation of transport and logistics service, Quality, reliability of logistics services, Business practices ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;World Bank;https://www.un.org/ohrlls/sites/www.un.org.ohrlls/files/lldcs_publications/tradetransport_facilitation_assessment_practical_toolkit.pdf
17;;Reform and automate customs procedures;Customs modernization;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;World Bank;https://www.un.org/ohrlls/sites/www.un.org.ohrlls/files/lldcs_publications/tradetransport_facilitation_assessment_practical_toolkit.pdf
18;;Improve border facilities;Customs modernization;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;World Bank;https://www.un.org/ohrlls/sites/www.un.org.ohrlls/files/lldcs_publications/tradetransport_facilitation_assessment_practical_toolkit.pdf
19;;Introduce risk management programs to expedite clearance:  Reduced inspections, Authorized economic operators ;Customs modernization;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;World Bank;https://www.un.org/ohrlls/sites/www.un.org.ohrlls/files/lldcs_publications/tradetransport_facilitation_assessment_practical_toolkit.pdf
20;;Improve trade security (e.g., scanners, secure supply chains);Customs modernization;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;World Bank;https://www.un.org/ohrlls/sites/www.un.org.ohrlls/files/lldcs_publications/tradetransport_facilitation_assessment_practical_toolkit.pdf
21;;Integrate activities of border management agencies;Customs modernization;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;World Bank;https://www.un.org/ohrlls/sites/www.un.org.ohrlls/files/lldcs_publications/tradetransport_facilitation_assessment_practical_toolkit.pdf
22;;Introduce a single point of entry for information used in clearing cargo;Customs modernization;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;World Bank;https://www.un.org/ohrlls/sites/www.un.org.ohrlls/files/lldcs_publications/tradetransport_facilitation_assessment_practical_toolkit.pdf
23;;Promote cross-border cooperation in monitoring and clearing cargo;Customs modernization;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;World Bank;https://www.un.org/ohrlls/sites/www.un.org.ohrlls/files/lldcs_publications/tradetransport_facilitation_assessment_practical_toolkit.pdf
24;;Accept scanned copies for supporting document and e-signatures;Customs modernization;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;World Bank;https://www.un.org/ohrlls/sites/www.un.org.ohrlls/files/lldcs_publications/tradetransport_facilitation_assessment_practical_toolkit.pdf
25;;Automate and simplify procedures for sanitary and phytosanitary, and for standards certification;Customs modernization;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;World Bank;https://www.un.org/ohrlls/sites/www.un.org.ohrlls/files/lldcs_publications/tradetransport_facilitation_assessment_practical_toolkit.pdf
26;;Increase inland clearance of cargo;Customs modernization;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;World Bank;https://www.un.org/ohrlls/sites/www.un.org.ohrlls/files/lldcs_publications/tradetransport_facilitation_assessment_practical_toolkit.pdf
27;;Simplify trade and infrastructure tariffs;Related procedures Trade facilitation initiatives ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;World Bank;https://www.un.org/ohrlls/sites/www.un.org.ohrlls/files/lldcs_publications/tradetransport_facilitation_assessment_practical_toolkit.pdf
28;;Reduce controlled commodities and certification requirements;Related procedures Trade facilitation initiatives ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;World Bank;https://www.un.org/ohrlls/sites/www.un.org.ohrlls/files/lldcs_publications/tradetransport_facilitation_assessment_practical_toolkit.pdf
29;;Revise domestic tax policy to facilitate movement of goods within a country;Related procedures Trade facilitation initiatives ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;World Bank;https://www.un.org/ohrlls/sites/www.un.org.ohrlls/files/lldcs_publications/tradetransport_facilitation_assessment_practical_toolkit.pdf
30;;Reform banking practices related to trade, liberalize foreign exchange transactions;Related procedures Trade facilitation initiatives ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;World Bank;https://www.un.org/ohrlls/sites/www.un.org.ohrlls/files/lldcs_publications/tradetransport_facilitation_assessment_practical_toolkit.pdf
31;;Develop public information platforms for sharing trade and logistics data;Related procedures Trade facilitation initiatives ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;World Bank;https://www.un.org/ohrlls/sites/www.un.org.ohrlls/files/lldcs_publications/tradetransport_facilitation_assessment_practical_toolkit.pdf
32;;Introduce e-government services and e-signatures to facilitate government approvals;Related procedures Trade facilitation initiatives ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;World Bank;https://www.un.org/ohrlls/sites/www.un.org.ohrlls/files/lldcs_publications/tradetransport_facilitation_assessment_practical_toolkit.pdf
33;;Strengthen capacity of authorities regulating trade and logistics;Related procedures Trade facilitation initiatives ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;World Bank;https://www.un.org/ohrlls/sites/www.un.org.ohrlls/files/lldcs_publications/tradetransport_facilitation_assessment_practical_toolkit.pdf
34;;Improve collection of key statistical information and performance indicators;Related procedures Trade facilitation initiatives ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;World Bank;https://www.un.org/ohrlls/sites/www.un.org.ohrlls/files/lldcs_publications/tradetransport_facilitation_assessment_practical_toolkit.pdf
35;;Develop capacity to analyze indicators, monitor results of policies and investments;Related procedures Trade facilitation initiatives ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;World Bank;https://www.un.org/ohrlls/sites/www.un.org.ohrlls/files/lldcs_publications/tradetransport_facilitation_assessment_practical_toolkit.pdf
36;;Plan and manage multimodal freight corridors;Transit regime, Air and sea connectivity and liberalization of services ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;World Bank;https://www.un.org/ohrlls/sites/www.un.org.ohrlls/files/lldcs_publications/tradetransport_facilitation_assessment_practical_toolkit.pdf
37;;Develop urban and line-haul transport interface (e.g., urban truck terminals);Transit regime, Air and sea connectivity and liberalization of services ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;World Bank;https://www.un.org/ohrlls/sites/www.un.org.ohrlls/files/lldcs_publications/tradetransport_facilitation_assessment_practical_toolkit.pdf
38;;Increase private sector participation to provide and maintain public infrastructure;Public infrastructure;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;World Bank;https://www.un.org/ohrlls/sites/www.un.org.ohrlls/files/lldcs_publications/tradetransport_facilitation_assessment_practical_toolkit.pdf
39;;Introduce commercial management in port and airport operations;Public infrastructure;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;World Bank;https://www.un.org/ohrlls/sites/www.un.org.ohrlls/files/lldcs_publications/tradetransport_facilitation_assessment_practical_toolkit.pdf
40;;Construct new transport link;Public infrastructure;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;World Bank;https://www.un.org/ohrlls/sites/www.un.org.ohrlls/files/lldcs_publications/tradetransport_facilitation_assessment_practical_toolkit.pdf
41;;Upgrade existing transport link;Public infrastructure;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;World Bank;https://www.un.org/ohrlls/sites/www.un.org.ohrlls/files/lldcs_publications/tradetransport_facilitation_assessment_practical_toolkit.pdf
42;;Plan and manage multi-country freight corridor;Public infrastructure;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;World Bank;https://www.un.org/ohrlls/sites/www.un.org.ohrlls/files/lldcs_publications/tradetransport_facilitation_assessment_practical_toolkit.pdf
43;;Establish dry ports and inland clearance facilities;Public infrastructure;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;World Bank;https://www.un.org/ohrlls/sites/www.un.org.ohrlls/files/lldcs_publications/tradetransport_facilitation_assessment_practical_toolkit.pdf
44;;Develop logistics hubs (e.g., free zones, distribution centers);Public infrastructure;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;World Bank;https://www.un.org/ohrlls/sites/www.un.org.ohrlls/files/lldcs_publications/tradetransport_facilitation_assessment_practical_toolkit.pdf
45;;Improve telecommunications services to support logistics;Public infrastructure;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;World Bank;https://www.un.org/ohrlls/sites/www.un.org.ohrlls/files/lldcs_publications/tradetransport_facilitation_assessment_practical_toolkit.pdf
46;Customs and crossborder management;Improve the effectiveness of customs operations with single window initiatives;Improving Trade Facilitation (Simplification, Harmonization and Standardization of Trade Procedures);0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Faster clearance for international trade and improved time performance of supply chains. Improving supply chain security, such as with the use of scanning technologies. Cross-border agreements to develop cross-border logistics (land border).;Cybersecurity and hacking;Rodrigue;https://www.researchgate.net/publication/325806652_Developing_the_Logistics_Sector_The_Role_of_Public_Policy
47;Trusted trader program;Coordinate customs operations with trusted importers and exporters;Improving Trade Facilitation (Simplification, Harmonization and Standardization of Trade Procedures);0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Reduction in the number of inspections for imported cargo and faster clearance. Exemptions from random non-intrusive inspections. Improved level of service for customs.;Two tiers system in customs clearance. Decline in compliance;Rodrigue;https://www.researchgate.net/publication/325806652_Developing_the_Logistics_Sector_The_Role_of_Public_Policy
48;Free zones (Foreign trade zones);Create special customs zones;Improving Trade Facilitation (Simplification, Harmonization and Standardization of Trade Procedures);0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Promotion of exports. Flexibility in the use of national customs regulations. Attract internationally focused logistics activities.;Loss of duty income. Infractions in customs regulations.;Rodrigue;https://www.researchgate.net/publication/325806652_Developing_the_Logistics_Sector_The_Role_of_Public_Policy
49;Customs corridors;Expand the ease to move cargo between customs entities within the same country.;Improving Trade Facilitation (Simplification, Harmonization and Standardization of Trade Procedures);0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Better integration between major gateways such as ports and airports. Additional flexibility in supply chain management.;Loss of customs duty income. Infractions in customs regulations.;Rodrigue;https://www.researchgate.net/publication/325806652_Developing_the_Logistics_Sector_The_Role_of_Public_Policy
50;National gateways;Develop gateways (ports and airports) as locations of national strategic interest.;Improving the Global Interface of Logistics (Gateways, Corridors, and Hinterland Accessibility;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Improve the capacity and throughput of ports or airports (new or existing facilities). Identify and coordinate transport infrastructure investment in gateway area. Facilitate modal shift and effective inland freight distribution.;Competing national gateways. Duplication of infrastructure.;Rodrigue;https://www.researchgate.net/publication/325806652_Developing_the_Logistics_Sector_The_Role_of_Public_Policy
51;Concessioning;Open terminal facilities to private terminal operators.;Improving the Global Interface of Logistics (Gateways, Corridors, and Hinterland Accessibility;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Improve the productivity of terminal operations by concessioning to
private terminal operators. PPP where private operator investing in terminal equipment and
automation. Better connectivity to global maritime shipping.
Use and coordinate regional transportation more effectively.";"Loss of control in terminal development.
Reduction in employment due to efficiency improvements.
Profit from terminal operation may be expatriated.";Rodrigue;https://www.researchgate.net/publication/325806652_Developing_the_Logistics_Sector_The_Role_of_Public_Policy
52;Privatization;Privatize public terminals, transporters or distributors.;Improving the Global Interface of Logistics (Gateways, Corridors, and Hinterland Accessibility;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Improve the efficiency of the privatized firms. Enables the entry of new providers. Increase competitiveness.;"Reduction in employment due to efficiency improvements.
Profit may be expatriated.";Rodrigue;https://www.researchgate.net/publication/325806652_Developing_the_Logistics_Sector_The_Role_of_Public_Policy
53;Corridors and connectors development;Develop or expand key transport connectors between logistical activities (e.g. terminals and logistics zones).;Improving the Global Interface of Logistics (Gateways, Corridors, and Hinterland Accessibility;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Improve key capacity bottlenecks. Coordinate the operations and investments of various stakeholders. Improve hinterland transport capacity, efficiency, and reliability. Facilitate better asset utilization and modal shift.;Duplication of connectors.;Rodrigue;https://www.researchgate.net/publication/325806652_Developing_the_Logistics_Sector_The_Role_of_Public_Policy
54;Logistics park;Develop zones supporting logistics activities.;Providing a Land Base for Logistics Infrastructure and Activities (Logistics Zones and Inland Ports);0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Achieves economies of agglomeration for freight activities. Lowers operational costs (e.g. joint infrastructures and utilities). Promotes the setting of logistics services firms.;"Duplication of logistics parks.
Designed function of the park not meeting market demands.";Rodrigue;https://www.researchgate.net/publication/325806652_Developing_the_Logistics_Sector_The_Role_of_Public_Policy
55;Port-centric logistics zone;Develop logistics zones adjacent to port terminal facilities.;Providing a Land Base for Logistics Infrastructure and Activities (Logistics Zones and Inland Ports);0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Uses port real estate more effectively. Facilitates imports and exports (direct access to port terminal). Reduces local congestion.;"Higher land values pressure the returns on investment.
Impact on surrounding communities.";Rodrigue;https://www.researchgate.net/publication/325806652_Developing_the_Logistics_Sector_The_Role_of_Public_Policy
56;Inland container depot;Develop facilities for users to pick up and drop containers outside terminals.;Providing a Land Base for Logistics Infrastructure and Activities (Logistics Zones and Inland Ports);0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Ensures availability of containers for exporters. Reduces port congestion. Lowers drayage costs.;Improper location. Lack of demand.;Rodrigue;https://www.researchgate.net/publication/325806652_Developing_the_Logistics_Sector_The_Role_of_Public_Policy
57;Inland / dry port;Develop inland intermodal facilities connected to gateways.;Providing a Land Base for Logistics Infrastructure and Activities (Logistics Zones and Inland Ports);0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Promotes modal shift (if connected by rail or barge). Reduces port congestion (relocation of some port activities). Facilitates economies of scale in inland distribution (corridors). Lowers last mile transport costs (co-location).;"Duplication of inland ports.
Facility underused.";Rodrigue;https://www.researchgate.net/publication/325806652_Developing_the_Logistics_Sector_The_Role_of_Public_Policy
58;Labour training and certification;Promotes logistics as a career path and expand capabilities (technical training).;Developing Logistics Capabilities (Labour and Logistical Services Skills);0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Provide a labour pool to address expected demand. Increases labour productivity. Develops diversified skills. Attracts logistics firms.;"Lack of labour (quantitative and qualitative).
Develop unneeded capabilities.";Rodrigue;https://www.researchgate.net/publication/325806652_Developing_the_Logistics_Sector_The_Role_of_Public_Policy
59;Research centres;Create research capabilities to address supply chain challenges.;Developing Logistics Capabilities (Labour and Logistical Services Skills);0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Identify trends, gaps and opportunities. Train researchers, consultants and managers. Provide innovations suitable for the national market. Collaborate with logistics firms.;Politically biased research.;Rodrigue;https://www.researchgate.net/publication/325806652_Developing_the_Logistics_Sector_The_Role_of_Public_Policy
60;Logistics firms incubator;Supports the development of small and medium-sized logistics firms.;Developing Logistics Capabilities (Labour and Logistical Services Skills);0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Develop entrepreneurial capabilities, particularly for new firms. Improve the provision of specialized logistics services, such as 3PLs and 4PLs. Improve the competitiveness of the logistics market.;"Focus on politically connected firms.
Potential bias towards sectors favoured by policy as opposed to those
with market potential.";Rodrigue;https://www.researchgate.net/publication/325806652_Developing_the_Logistics_Sector_The_Role_of_Public_Policy
61;Freight portal;Create an exchange market for logistics services.;Supporting Logistical Information Systems (Freight Portals / Port Community Systems);1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Improves the interactions between the providers and consumers of logistics services. Promotes a better usage of transport assets and facilities. Enables the participation of small and medium-sized firms.;Creation of a two-tier market for logistics services.;Rodrigue;https://www.researchgate.net/publication/325806652_Developing_the_Logistics_Sector_The_Role_of_Public_Policy
62;Port community system;Make available logistical information among the actors involved in portrelated freight distribution.;Supporting Logistical Information Systems (Freight Portals / Port Community Systems);1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Promotes competitiveness in port-related services.
Promotes coordination between freight actors to improve port area
efficiency.
Improves the tracking of freight and transport assets.";Cybersecurity and hacking;Rodrigue;https://www.researchgate.net/publication/325806652_Developing_the_Logistics_Sector_The_Role_of_Public_Policy
63;Logistics observatory;Monitor logistics activities by collecting and providing data.;Supporting Logistical Information Systems (Freight Portals / Port Community Systems);1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Collects information about logistics activities. Reports key performance indicators benchmarking the industry. Assesses the effectiveness of logistics policies.;Information inaccurate or biased.;Rodrigue;https://www.researchgate.net/publication/325806652_Developing_the_Logistics_Sector_The_Role_of_Public_Policy
